lookback,batchsize,updates,threshold,numfilters,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
24,23,5,0,20,0.124401612,0.322860066,0.386483148,0.033891592
24,23,5,0.1,16,0.130595776,0.347522233,0.478601332,0.033823258
24,23,5,0.1,18,0.151315067,0.357331214,0.370274081,0.034250916
24,23,5,0.1,20,0.124401612,0.322860066,0.268966062,0.034260235
24,23,5,0.5,16,0.130595776,0.347522233,0.304883196,0.046709724
24,23,5,0.5,18,0.151315067,0.357331214,0.421513869,0.043543589
24,23,5,0.5,20,0.124401612,0.322860066,0.275943713,0.041427315
24,23,6,0,16,0.130595776,0.347522233,0.226208074,0.03979458
24,23,6,0,18,0.151315067,0.357331214,0.314892239,0.03988182
24,23,6,0,20,0.124401612,0.322860066,0.232297002,0.039541622
24,23,6,0.1,16,0.130595776,0.347522233,0.216309413,0.039182483
24,23,6,0.1,18,0.151315067,0.357331214,0.351560575,0.039662168
24,23,6,0.1,20,0.124401612,0.322860066,0.362003572,0.040611839
24,23,6,0.5,16,0.130595776,0.347522233,0.39750474,0.04955008
24,23,6,0.5,18,0.151315067,0.357331214,0.314955168,0.047159018
24,23,6,0.5,20,0.124401612,0.322860066,0.456307151,0.045442126
24,23,7,0,16,0.130595776,0.347522233,0.268820131,0.046337355
24,23,7,0,18,0.151315067,0.357331214,0.359922352,0.046114273
24,23,7,0,20,0.124401612,0.322860066,0.291952887,0.046591245
24,23,7,0.1,16,0.130595776,0.347522233,0.255361776,0.044700053
24,23,7,0.1,18,0.151315067,0.357331214,0.28759481,0.04565009
24,23,7,0.1,20,0.124401612,0.322860066,0.287294438,0.045792016
24,23,7,0.5,16,0.130595776,0.347522233,0.280597023,0.065463193
24,23,7,0.5,18,0.151315067,0.357331214,0.292524491,0.055200909
24,23,7,0.5,20,0.124401612,0.322860066,0.284647096,0.061282099
24,25,5,0,16,0.118254842,0.347724685,0.268768734,0.033182169
24,25,5,0,18,0.120276451,0.340963158,0.429839291,0.034093891
24,25,5,0,20,0.122224145,0.317708799,0.241971475,0.033895628
24,25,5,0.1,16,0.118254842,0.347724685,0.286629756,0.033402023
24,25,5,0.1,18,0.120276451,0.340963158,0.318693356,0.034098156
24,25,5,0.1,20,0.122224145,0.317708799,0.286263883,0.034194557
24,25,5,0.5,16,0.118254842,0.347724685,0.295697346,0.040801044
24,25,5,0.5,18,0.120276451,0.340963158,0.293781317,0.04291352
24,25,5,0.5,20,0.122224145,0.317708799,0.387354598,0.036719504
24,25,6,0,18,0.120276451,0.340963158,0.270335952,0.040067021
24,25,6,0.1,18,0.120276451,0.340963158,0.375185863,0.041718137
24,25,6,0.5,16,0.118254842,0.347724685,0.353371657,0.054683735
24,25,6,0.5,18,0.120276451,0.340963158,0.32066527,0.059417118
24,25,6,0.5,20,0.122224145,0.317708799,0.275927944,0.062535562
24,25,7,0,18,0.120276451,0.340963158,0.415482773,0.064440644
24,25,7,0.1,18,0.120276451,0.340963158,0.269077588,0.064031578
24,25,7,0.5,16,0.118254842,0.347724685,0.487295061,0.068174794
24,25,7,0.5,18,0.120276451,0.340963158,0.274269481,0.081909689
24,25,7,0.5,20,0.122224145,0.317708799,0.376445479,0.055878223
